name,speed,range,rating,reviews,price,emi,extra_details
e-Sprinto Rapo,25 km/Hr,100 km/charge,0.0,0,"Rs 62,999 * Onwards","EMI starts from ₹1,831",3-4 Hr
Vegh S60,58 km/Hr,65-100 km/charge,0.0,0,"Rs 99,000 * Onwards","EMI starts from ₹2,859",4-5 Hr
Evolet Dhanno,25 km/Hr,80-100 km/charge,4.3,2,"Rs 84,999 * Onwards","EMI starts from ₹2,474",3-4 Hr
GoBike Ambition,55 km/Hr,4-5 Hr,4.1,3,"Rs 73,817 * Onwards","EMI starts from ₹2,147",N/A
Zelo Zaeden,60-140 km/charge,3 Hr,5.0,1,"Rs 52,900 * Onwards","EMI starts from ₹1,539",N/A
Rowwet Rame,55 km/Hr,3 Hr,5.0,1,"Rs 1,15,000 * Onwards","EMI starts from ₹3,309",N/A
Shema Hobby,25 km/Hr,90 km/charge,0.0,0,"Rs 77,000 * Onwards","EMI starts from ₹2,217",3-4 Hr
Rowwet Zepop,65 km/Hr,80-90 km/charge,0.0,0,"Rs 61,770 * Onwards","EMI starts from ₹1,792",3 Hr
Enigma Crink Pro,80 km/Hr,90-110 km/charge,0.0,0,"Rs 1,15,306 * Onwards","EMI starts from ₹3,319",N/A
Odysse Racer Neo,25 km/Hr,90-115 km/charge,4.8,1,"Rs 52,000 * Onwards","EMI starts from ₹1,510",4-8 Hr
NIJ Automotive Accelero Plus,25 km/Hr,190 km/charge,4.0,1,"Rs 55,200 * Onwards","EMI starts from ₹1,581",3-4 Hr
AMO Electric Jaunty L,55-60 km/charge,3-4 Hr,0.0,0,"Rs 54,577 * Onwards","EMI starts from ₹1,593",N/A
Komaki XGT VP,70 km/Hr,75-80 km/charge,4.5,5,"Rs 59,999 * Onwards","EMI starts from ₹1,735",4-5 Hr
RunR HS Electric,70 km/Hr,100 km/charge,0.0,0,"Rs 1,14,499 * Onwards","EMI starts from ₹3,325",N/A
Tunwal Lithino Pro,25 km/Hr,100-110 km/charge,0.0,0,"Rs 49,993 * Onwards","EMI starts from ₹1,445",4-5 Hr
GT Vegas,25 km/Hr,60-70 km/charge,3.8,1,"Rs 57,999 * Onwards","EMI starts from ₹1,671",4.3 Hr
Green Loader,25 km/Hr,60 km/charge,0.0,0,"Rs 75,999 * Onwards","EMI starts from ₹2,185",4-6 Hr
Gemopai Ryder,25 km/Hr,90 km/charge,4.3,3,"Rs 70,850 * Onwards","EMI starts from ₹2,051",N/A
OPG Faast F3,70 km/Hr,120-130 km/charge,0.0,0,"Rs 1,04,999 * Onwards","EMI starts from ₹3,052",4-5 Hr
Ujaas eSpa Li,75 km/charge,3-4 Hr,5.0,1,"Rs 60,774 * Onwards","EMI starts from ₹1,760",N/A
Lectrix LXS 2.0,55 km/Hr,98 km/charge,4.3,3,"Rs 84,990 * Onwards","EMI starts from ₹2,473",3 Hr
GoBike Quanto,55 km/Hr,4-5 Hr,0.0,0,"Rs 69,182 * Onwards","EMI starts from ₹1,998",N/A
Numeros n-First,70 km/Hr,109 km/charge,0.0,0,"Rs 74,299 * Onwards","EMI starts from ₹2,162",7-8 Hr
Essel Energy Wind,25 km/Hr,65-75 km/charge,3.7,1,"Rs 54,600 * Onwards","EMI starts from ₹1,593",N/A
AMO Electric Inspirer,25 km/Hr,100 km/charge,4.5,8,"Rs 49,989 * Onwards","EMI starts from ₹1,445",6 Hr
ADMS Phantom,60 km/Hr,4-5 Hr,5.0,1,"Rs 1,49,000 * Onwards","EMI starts from ₹4,305",N/A
Yakuza Unique,25 km/Hr,55 km/charge,0.0,0,"Rs 63,000 * Onwards","EMI starts from ₹1,831",6-8 Hr
ADMS Marvel,70 km/Hr,70-100 km/charge,4.7,6,"Rs 97,000 * Onwards","EMI starts from ₹2,795",3-4 Hr
Greta Harper ZX Series-I,60 km/Hr,80 km/charge,4.1,7,"Rs 41,999 * Onwards","EMI starts from ₹1,221",3-4 Hr
DAO Vidyut 108,25 km/Hr,70 km/charge,4.5,2,"Rs 86,449 * Onwards","EMI starts from ₹2,488",N/A
PURE EV Epluto 7G,47 km/Hr,85-101 km/charge,3.2,19,"Rs 80,799 * Onwards","EMI starts from ₹2,339",N/A
Okinawa Okhi90,90 km/Hr,160 km/charge,4.2,35,"Rs 1,49,991 * Onwards","EMI starts from ₹4,337",5-6 Hr
Detel EV Veeru,25 km/Hr,100 km/charge,3.7,2,"Rs 75,000 * Onwards","EMI starts from ₹2,152",N/A
Ujaas eGo Li,25 km/Hr,75 km/charge,4.7,2,"Rs 60,774 * Onwards","EMI starts from ₹1,760",3-4 Hr
MX Moto MXV,75 km/Hr,105-120 km/charge,1.0,1,"Rs 84,999 * Onwards","EMI starts from ₹2,474",N/A
Vegh S25,25 km/Hr,80 km/charge,0.0,0,"Rs 74,539 * Onwards","EMI starts from ₹2,170",4-5 Hr
Kabira Hermes 75,100 km/Hr,120 km/charge,3.7,2,"Rs 74,200 * Onwards","EMI starts from ₹2,159",3.5 Hr
e-Sprinto Roamy,25 km/Hr,100 km/charge,3.7,1,"Rs 54,999 * Onwards","EMI starts from ₹1,606",3-4 Hr
Energy Automobile EvOne,25 km/Hr,70-75 km/charge,3.7,1,"Rs 60,000 * Onwards","EMI starts from ₹1,735",3-4 Hr
Thunderbolt Electra,55 km/Hr,110-120 km/charge,5.0,1,"Rs 79,999 * Onwards","EMI starts from ₹2,313",4-5 Hr
Evolet Pony,25 km/Hr,80 km/charge,3.8,1,"Rs 59,999 * Onwards","EMI starts from ₹1,735",3-4 Hr
Komaki TN-95,85 km/Hr,130-150 km/charge,4.7,8,"Rs 1,18,618 * Onwards","EMI starts from ₹3,425",4-5 Hr
Numeros Diplos Max Plus,70 km/Hr,156 km/charge,0.0,0,"Rs 1,20,887 * Onwards","EMI starts from ₹3,498",3-4 Hr
Li-ions Spock Electric Scooter,45 km/Hr,130 km/charge,4.7,2,"Rs 65,000 * Onwards","EMI starts from ₹1,863",4 Hr
Corrit Electric Transit,70 km/Hr,130 km/charge,4.7,5,"Rs 1,29,000 * Onwards","EMI starts from ₹3,727",3.5 Hr
BGauss OoWah,60 km/Hr,145 km/charge,4.5,2,"Rs 94,990 * Onwards","EMI starts from ₹2,763",6.5 Hr
EVeium COSMO,75 km/Hr,100 km/charge,3.9,2,"Rs 1,39,200 * Onwards","EMI starts from ₹4,022",4 Hr
Hayasa Daksha,25 km/Hr,90 km/charge,4.2,2,"Rs 74,050 * Onwards","EMI starts from ₹2,154",N/A
GT RYD Plus,25 km/Hr,90-95 km/charge,3.7,1,"Rs 68,999 * Onwards","EMI starts from ₹1,992",4-5 Hr
OPG Freedum,25 km/Hr,75 km/charge,0.0,0,"Rs 49,999 * Onwards","EMI starts from ₹1,446",5-6 Hr
Aftek Eone,25 km/Hr,70-100 km/charge,0.0,0,"Rs 79,990 * Onwards","EMI starts from ₹2,313",3-4 Hr
Fidato Evtech EasyGo Plus,40 km/Hr,80-110 km/charge,0.0,0,"Rs 95,605 * Onwards","EMI starts from ₹2,750",4-5 Hr
NIJ Automotive Accelero X-Pro,80 km/Hr,54 km/charge,4.9,3,"Rs 58,100 * Onwards","EMI starts from ₹1,674",3-4 Hr
BNC Perfetto,65 km/Hr,55-80 km/charge,0.0,0,"Rs 1,15,000 * Onwards","EMI starts from ₹3,309",4 Hr
White Carbon Motors GT5,50 km/Hr,100-150 km/charge,4.4,5,"Rs 1,25,000 * Onwards","EMI starts from ₹3,598",3-4 Hr
Tunwal E-Boat,25 km/Hr,90-100 km/charge,0.0,0,"Rs 64,993 * Onwards","EMI starts from ₹1,895",4-5 Hr
Sokudo Acute 2.2,70 km/Hr,100 km/charge,0.0,0,"Rs 96,889 * Onwards","EMI starts from ₹2,791",4-5 Hr
Odysse Electric V2,25 km/Hr,150 km/charge,4.0,1,"Rs 77,250 * Onwards","EMI starts from ₹2,225",3.5 Hr
Komaki CAT 2.0 NXT,70 km/Hr,120 km/charge,3.7,1,"Rs 74,999 * Onwards","EMI starts from ₹2,185",4-5 Hr
Avon E Scoot 504,24 km/Hr,65 km/charge,4.4,45,"Rs 66,006 * Onwards","EMI starts from ₹1,896",7-8 Hr
Avon E-Trust 900,55 km/Hr,100 km/charge,4.5,1,"Rs 2,10,600 * Onwards","EMI starts from ₹5,768",4-5 Hr
Gemopai Ryder SuperMax,60 km/Hr,100 km/charge,4.0,4,"Rs 79,999 * Onwards","EMI starts from ₹2,313",N/A
JHEV Alfa K1,85 km/Hr,100-110 km/charge,4.7,1,"Rs 1,24,999 * Onwards","EMI starts from ₹3,630",3-4 Hr
Flycon Empire,25 km/Hr,80-100 km/charge,4.2,2,"Rs 79,900 * Onwards","EMI starts from ₹2,310",3-4 Hr
OPG Faast F2T,60 km/Hr,80-85 km/charge,0.0,0,"Rs 89,999 * Onwards","EMI starts from ₹2,602",3-4 Hr
Wroley Platina,25 km/Hr,90 km/charge,3.2,1,"Rs 79,900 * Onwards","EMI starts from ₹2,310",4 Hr
Yakuza Amber,25 km/Hr,55 km/charge,0.0,0,"Rs 43,505 * Onwards","EMI starts from ₹1,269",6-8 Hr
Avon E Mate 306,24 km/Hr,65 km/charge,4.5,4,"Rs 1,00,689 * Onwards","EMI starts from ₹2,914",7-8 Hr
Rugged G1,75 km/Hr,80-160 km/charge,4.0,1,"Rs 78,498 * Onwards","EMI starts from ₹2,265",4 Hr
Okaya Faast,70 km/Hr,120-130 km/charge,3.7,35,"Rs 1,04,999 * Onwards","EMI starts from ₹3,052",4-5 Hr
AMO Electric Jaunty I-Pro,60 km/Hr,120 km/charge,0.0,0,"Rs 98,736 * Onwards","EMI starts from ₹2,851",3.5 Hr
Tunwal Sport 63,25 km/Hr,50-55 km/charge,0.0,0,"Rs 44,777 * Onwards","EMI starts from ₹1,310",7-8 Hr
OPG Faast F2B,70 km/Hr,81 km/charge,0.0,0,"Rs 89,999 * Onwards","EMI starts from ₹2,602",3-4 Hr
Omega Mopido,25 km/Hr,100 km/charge,4.3,1,"Rs 83,790 * Onwards","EMI starts from ₹2,435",N/A
AMO Electric Jaunty Pro,25 km/Hr,75-100 km/charge,4.3,5,"Rs 69,256 * Onwards","EMI starts from ₹2,000",6 Hr
White Carbon Motors O3,25 km/Hr,60 km/charge,4.5,4,"Rs 55,900 * Onwards","EMI starts from ₹1,603",3-4 Hr
ADMS DB,80 km/Hr,60-80 km/charge,5.0,1,"Rs 1,33,000 * Onwards","EMI starts from ₹3,855",4-8 Hr
PURE EV ETrance Neo,47 km/Hr,85-101 km/charge,2.8,9,"Rs 79,699 * Onwards","EMI starts from ₹2,303",N/A
JHEV Alfa R5,70 km/Hr,80-100 km/charge,3.1,2,"Rs 1,11,999 * Onwards","EMI starts from ₹3,245",3-4 Hr
ABZO Sigilo,85 km/Hr,162 km/charge,0.0,0,"Rs 99,900 * Onwards","EMI starts from ₹2,888",6.4 Hr
Seeka SFlash250,80 km/Hr,70-80 km/charge,0.0,0,"Rs 54,999 * Onwards","EMI starts from ₹1,606",N/A
One Moto Electa,85 km/Hr,150 km/charge,5.0,1,"Rs 1,99,000 * Onwards","EMI starts from ₹5,446",4 Hr
Vegh L25,25 km/Hr,70 km/charge,0.0,0,"Rs 76,395 * Onwards","EMI starts from ₹2,197",4-5 Hr
Zelo Zaeden+,55 km/Hr,100-120 km/charge,0.0,0,"Rs 88,900 * Onwards","EMI starts from ₹2,567",4-5 Hr
RBSeVA Rider,25 km/Hr,70-80 km/charge,5.0,1,"Rs 67,689 * Onwards","EMI starts from ₹1,950",3-4 Hr
Amo Electric Feisty EV,25 km/Hr,75-100 km/charge,0.0,0,"Rs 62,180 * Onwards","EMI starts from ₹1,805",6 Hr
Yakuza Utility Pro,25 km/Hr,55 km/charge,0.0,0,"Rs 46,980 * Onwards","EMI starts from ₹1,349",6-8 Hr
EeVe Xeniaa,25 km/Hr,70-80 km/charge,4.3,3,"Rs 79,999 * Onwards","EMI starts from ₹2,313",3-4 Hr
Omega Vextra,70 km/Hr,110 km/charge,0.0,0,"Rs 99,900 * Onwards","EMI starts from ₹2,888",5 Hr
Wroley Posh,25 km/Hr,90 km/charge,0.0,0,"Rs 82,900 * Onwards","EMI starts from ₹2,406",4 Hr
Super Eco T1,55 km/Hr,70-80 km/charge,4.2,4,"Rs 56,772 * Onwards","EMI starts from ₹1,631",4-6 Hr
Zelio Mystery,70 km/Hr,100 km/charge,0.0,0,"Rs 70,000 * Onwards","EMI starts from ₹2,024",4-5 Hr
Kinetic Green Flex,72 km/Hr,120 km/charge,4.1,11,"Rs 1,09,874 * Onwards","EMI starts from ₹3,176",3 Hr
Aftek Elmo,75 km/Hr,90-135 km/charge,1.0,1,"Rs 1,09,990 * Onwards","EMI starts from ₹3,180",4.5 Hr
Kick EV Stallion,80 km/Hr,100 km/charge,4.0,2,"Rs 1,13,320 * Onwards","EMI starts from ₹3,287",4 Hr
NDS Eco Motors SQD,68 km/Hr,218 km/charge,0.0,0,"Rs 1,19,863 * Onwards","EMI starts from ₹3,465",4 Hr
Komaki LY,60 km/Hr,160-200 km/charge,5.0,4,"Rs 63,999 * Onwards","EMI starts from ₹1,863",N/A
Jitendra Primo,52 km/Hr,82 km/charge,0.0,0,"Rs 92,007 * Onwards","EMI starts from ₹2,667",3.5-4 Hr
Joy e-bike Mihos,65 km/Hr,130 km/charge,4.8,6,"Rs 1,07,619 * Onwards","EMI starts from ₹3,104",5 Hr
GT One Plus Pro,70 km/Hr,100-110 km/charge,4.7,1,"Rs 76,999 * Onwards","EMI starts from ₹2,217",4-5 Hr
Herald Legend,25 km/Hr,3-4 Hr,4.4,2,"Rs 63,761 * Onwards","EMI starts from ₹1,856",N/A
Komaki X2 Vogue,25 km/Hr,85-90 km/charge,5.0,6,"Rs 60,999 * Onwards","EMI starts from ₹1,767",4-5 Hr
Hayasa Ira,25 km/Hr,90 km/charge,3.8,2,"Rs 76,750 * Onwards","EMI starts from ₹2,209",N/A
One Moto Byka,85 km/Hr,90-150 km/charge,0.0,0,"Rs 1,80,000 * Onwards","EMI starts from ₹5,204",5 Hr
Rowwet Vegatron,65 km/Hr,3 Hr,0.0,0,"Rs 1,25,000 * Onwards","EMI starts from ₹3,598",N/A
Herald Rider,25 km/Hr,3-4 Hr,3.5,2,"Rs 87,660 * Onwards","EMI starts from ₹2,527",N/A
BattRE LOEV+,60 km/Hr,60-90 km/charge,0.0,0,"Rs 79,999 * Onwards","EMI starts from ₹2,313",2.5 Hr
Quantum Plasma,60 km/Hr,100 km/charge,3.9,2,"Rs 89,095 * Onwards","EMI starts from ₹2,573",N/A
AMO Electric Brisk,25 km/Hr,75-100 km/charge,4.0,1,"Rs 62,913 * Onwards","EMI starts from ₹1,828",6 Hr
Yakuza Sparrow Pro,25 km/Hr,55 km/charge,0.0,0,"Rs 53,400 * Onwards","EMI starts from ₹1,555",6-8 Hr
Shema Tuff,60 km/Hr,150 km/charge,5.0,1,"Rs 79,655 * Onwards","EMI starts from ₹2,302",6-7 Hr
Sprinto HS,50 km/Hr,120 km/charge,5.0,1,"Rs 86,000 * Onwards","EMI starts from ₹2,474",3-4 Hr
iVOOMi Jeet X,61 km/Hr,170 km/charge,4.7,3,"Rs 84,999 * Onwards","EMI starts from ₹2,474",5.45 Hr
BMW CE 04,120 km/Hr,130 km/charge,4.6,7,"Rs 15,25,000 * Onwards","EMI starts from ₹41,739",4.2 Hr
Raftaar Cruzer R1,45 km/Hr,100 km/charge,4.0,1,"Rs 84,500 * Onwards","EMI starts from ₹2,458",4-5 Hr
Kinetic Green Zulu,60 km/Hr,104 km/charge,4.1,3,"Rs 79,990 * Onwards","EMI starts from ₹2,313",N/A
Crayon Envy,25 km/Hr,75-80 km/charge,0.0,0,"Rs 58,307 * Onwards","EMI starts from ₹1,680",N/A
Seeka Vatsal250,80 km/Hr,70-80 km/charge,0.0,0,"Rs 62,962 * Onwards","EMI starts from ₹1,830",N/A
AMO Electric Jaunty S,55-65 km/charge,3-5 Hr,0.0,0,"Rs 50,609 * Onwards","EMI starts from ₹1,465",N/A
Tunwal Storm ZX,85 km/Hr,70-75 km/charge,4.1,2,"Rs 55,993 * Onwards","EMI starts from ₹1,606",4-5 Hr
Fidato Evtech Cutie,25 km/Hr,60-70 km/charge,4.4,2,"Rs 70,300 * Onwards","EMI starts from ₹2,034",3-4 Hr
Enigma GT 450 Pro,60 km/Hr,120 km/charge,0.0,0,"Rs 86,902 * Onwards","EMI starts from ₹2,503",5-7 Hr
Stella Moto SA 2000,70 km/Hr,60-70 km/charge,0.0,0,"Rs 86,000 * Onwards","EMI starts from ₹2,474",3-4 Hr
GoBike XL,100 km/Hr,4-5 Hr,4.6,3,"Rs 1,09,999 * Onwards","EMI starts from ₹3,180",N/A
Yo Trust Drift HX,65 km/Hr,100 km/charge,0.0,0,"Rs 1,50,000 * Onwards","EMI starts from ₹4,337",4-5 Hr
Okaya Motofaast,70 km/Hr,130 km/charge,4.8,1,"Rs 1,33,999 * Onwards","EMI starts from ₹3,887",N/A
Joy e-bike Wolf Plus,55 km/Hr,100 km/charge,4.7,1,"Rs 71,099 * Onwards","EMI starts from ₹2,059",4-5 Hr
Yakuza Sophie,25 km/Hr,55 km/charge,0.0,0,"Rs 57,000 * Onwards","EMI starts from ₹1,638",6-8 Hr
Fidato Evtech Loder,25 km/Hr,70-100 km/charge,0.0,0,"Rs 83,490 * Onwards","EMI starts from ₹2,425",4-5 Hr
Sokudo Pace,60 km/Hr,125 km/charge,0.0,0,"Rs 73,999 * Onwards","EMI starts from ₹2,152",N/A
Green Vista,25 km/Hr,60 km/charge,0.0,0,"Rs 54,499 * Onwards","EMI starts from ₹1,590",4-6 Hr
Odysse Snap,60 km/Hr,105 km/charge,0.0,0,"Rs 79,999 * Onwards","EMI starts from ₹2,313",4 Hr
Quantum BZiness,55 km/Hr,135 km/charge,3.4,3,"Rs 96,499 * Onwards","EMI starts from ₹2,779",N/A
JHEV Alfa R1,75 km/Hr,100-120 km/charge,2.9,2,"Rs 89,999 * Onwards","EMI starts from ₹2,602",3-4 Hr
EeVe Wind,25 km/Hr,60-70 km/charge,4.0,1,"Rs 59,999 * Onwards","EMI starts from ₹1,735",6-7 Hr
Gaura Partner 5G,25 km/Hr,80 km/charge,0.0,0,"Rs 79,990 * Onwards","EMI starts from ₹2,313",4-5 Hr
HCD India NPS Cargo,25 km/Hr,70 km/charge,0.0,0,"Rs 80,850 * Onwards","EMI starts from ₹2,340",3 Hr
Ujaas eGo T3,75 km/charge,3-4 Hr,3.9,2,"Rs 59,724 * Onwards","EMI starts from ₹1,726",N/A
Avon E-Zap Dx,24 km/Hr,4-5 Hr,0.0,0,"Rs 94,799 * Onwards","EMI starts from ₹2,756",N/A
Odysse Electric Trot,25 km/Hr,75 km/charge,0.0,0,"Rs 99,999 * Onwards","EMI starts from ₹2,891",4 Hr
iScoot 1,65 km/Hr,150 km/charge,4.6,3,"Rs 1,07,039 * Onwards","EMI starts from ₹3,085",2-3 Hr
Maruthisan MS 3.0,60 km/Hr,140-160 km/charge,4.0,1,"Rs 1,48,528 * Onwards","EMI starts from ₹4,290",N/A
OPG Motofaast,70 km/Hr,130 km/charge,0.0,0,"Rs 1,33,999 * Onwards","EMI starts from ₹3,887",N/A
JHEV Alfa R3,85 km/Hr,100-110 km/charge,4.2,1,"Rs 1,24,999 * Onwards","EMI starts from ₹3,630",3-4 Hr
Flycon Grove,25 km/Hr,80-90 km/charge,3.7,1,"Rs 74,629 * Onwards","EMI starts from ₹2,173",6-7 Hr
Hop Electric LEO,70 km/Hr,110 km/charge,4.0,8,"Rs 84,360 * Onwards","EMI starts from ₹2,453",3.15 Hr
AMO Electric Jaunty Plus,50 km/Hr,108 km/charge,4.7,4,"Rs 1,07,734 * Onwards","EMI starts from ₹3,108",4 Hr
